prompt,chat,link,date,sent,status,eligible,chat_name,subscription_id
Ребят кто может порекомендовать надежного мастера по ремонту телефонов?Токмак.,Токмак Молочанск Барахолка,t.me/baraholka_tkm/554633,11/16/2024 3:52pm,checked,checked,checked,,
"Девочки кто сможет поснимать на видео встречу 17.11 вечером ? Можно не профессионально , можно на телефон , естественно за оплату , пишите договоримся 🙏очень нужна помощь.",Кипр женский Чат,t.me/cyprus_women_chat/162782,11/16/2024 3:54pm,,,,,
Если хороший сервис и это считая установку винды с драйверами - нормально,error,t.me/grammfispeckta/4926159,11/16/2024 3:55pm,,,,,
"Добрый день! Может быть, у кого-то есть контакты хорошего мастера по установке стиральных машин? Можно в лс)",Чат ЖК Новокрасково,t.me/Novokraskovo_chat/103091,11/16/2024 3:55pm,checked,checked,checked,,
"Здравствуйте! Нужны услуги сантехника. У кого есть контакты, поделитесь.",Товары Старобельска,t.me/starobelsktovar/619410,11/16/2024 3:57pm,,,,,
"5 коп. можно? без кондишна, телека, посудомойки 40-45 макс, ремонт Гранель стандартный ибо не обижайтесь, мы тут десятки квартир сдавали",ЖК Инновация Недвижимость,t.me/innovaciaEstate/31590,11/16/2024 3:59pm,,,,,
Всем привет.Кто может установить винду?,Брашов Услуги | Brasov Service,t.me/brasovservice/29896,11/16/2024 4:04pm,,,,,
Добрый день кто подскажет как работает на Филёвской пойме сантехник. Мне нужно установить унитаз.Конечно лучше сегодня. Может знает кто номер тлф? Извините за беспокойство.🙏,СОСЕДИ Филёвская пойма,t.me/Fili_poima/89914,11/16/2024 4:07pm,checked,checked,checked,,
"Мамочки, подскажите пожалуйста хорошего мастера по ремонту стиральных машин",Мамочки Крылатского | Кунцево | ЗАО и окрестностей,t.me/krylatskoe_moms/51107,11/16/2024 4:09pm,checked,checked,checked,,
Вы можете зайти в веб интерфейс камеры и скинуть сюда фото сетевых настроек ?,ВИДЕОНАБЛЮДЕНИЕ.,t.me/cctvcameraroman/563126,11/16/2024 4:09pm,,,,,
"Девочки кто сможет поснимать на видео встречу 17.11 вечером ? Можно не профессионально , можно на телефон , естественно за оплату , пишите договоримся 🙏очень нужна помощь.Никосия и рядом",LIFE | ЖИЗНЬ НА КИПРЕ ЧАТ,t.me/Life_in_Cyprus/82626,11/16/2024 4:14pm,,,,,
Смотря на что фоткается и с какими настройками. Основная камера в обычном режиме или (тем более) в RAW будет всяко лучше ширика,Чат AppleInsider.ru,t.me/appleinsiderru_official/1407973,11/16/2024 4:15pm,,,,,
Доброго дня всем. Подскажите где отремонтировать ноутбук?,"ЖК Я Романтик, Тихая Гавань, Голден-Сити",t.me/yaromantic/269154,11/16/2024 4:17pm,checked,checked,checked,,
"Добрый день, соседи. Может кто-то дать контакт проверенного мастера по ремонту холодильников? Спасибо",Одинбург-клуб,t.me/odinburg1/80445,11/16/2024 4:20pm,checked,checked,checked,,
"Добрый день, есть проверенный мастер по стиралкам? Дайте пжлста контакт",Болталка Новое Пушкино,t.me/boltalka_NP/254274,11/16/2024 4:22pm,checked,checked,checked,,
"Добрый всем день, может кто-то подскажет телефон мастера по ремонту замков, входные двери?",error,t.me/pereselentsi_cherkassy/253805,11/16/2024 4:25pm,,,,,
"Напишите, пожалуйста, серийный номер телевизора. Его можно посмотреть в настройках, начинается на 000*",Устройства Sber с ассистентом Салют,t.me/sberdevices_chat/381831,11/16/2024 4:31pm,,,,,
"Мне нужно качество звука и отвязка телефона от магнитолы, путем установки в нее сим карты",Toyota Prius / Приус,t.me/PriusToyo/77022,11/16/2024 4:34pm,,,,,
"Я раз была на педикюре, где сидишь напротив окна, мастер спиной к окну. Мне кажется там полгорода видели цвет моих трусов 🤌 ну как так можно было придумать?! Гении",spolyany_women,t.me/spolyany_women/427666,11/16/2024 4:34pm,,,,,
"Соседи, всем добрый день! Подскажите, пожалуйста, номер проверенного электрика",error,t.me/chat_moskovskogo/158592,11/16/2024 4:35pm,,,,,
Здравствуйте подскажите кто знает хорошего мастера по установке стиральной машинки дайте пожалуйста координаты,ЖК Полярная 25,t.me/Polyarnaya25/234231,11/16/2024 4:38pm,checked,checked,checked,,
"Здравствуйте! У кого нибудь есть номер мастера по окнам, ото сквозит",ЖК Прокшино Основной Чат,t.me/pro_prokshino_chat/410970,11/16/2024 4:40pm,checked,checked,checked,,
Ищем компанию с кем можно сотрудничать по Гевербе. Электрика,Работа в Германии,t.me/jobinde/202053,11/16/2024 4:40pm,,,,,
"Девочки кто сможет поснимать на видео встречу 17.11 вечером ? Можно не профессионально , можно на телефон , естественно за оплату , пишите договоримся 🙏очень нужна помощь.Париж",Українці в Парижі Ніцці Ліоні,t.me/Francia_ukr_chat/17454,11/16/2024 4:47pm,,,,,
Еще до НГ видимо будут серьезные кадровые чистки в силовом блоке... решавшем поиграть в политику...,РЕКОНКИСТА_UA,t.me/ReconquistaUA/5575646,11/16/2024 4:49pm,,,,,
Почему тогда нельзя номер спеца по ремонту стиралок?,Опалиха О2,t.me/opaliha02/246312,11/16/2024 4:50pm,checked,checked,checked,,
"Девочки кто сможет поснимать на видео встречу 18.11 вечером ? Можно не профессионально , можно на телефон , естественно за оплату , пишите договоримся 🙏очень нужна помощь.",Родительский чат беларусы в Польше.,t.me/rchbpl/279852,11/16/2024 4:54pm,,,,,
"Здравствуйте. Есть кто нибудь с Краснодара,кто занимается ремонтом блютек , поменять прокладку в бойлере ?",КОФЕВАРЫ,t.me/kofevars/123790,11/16/2024 4:55pm,,,,,
"Слушай, если тебе нужен толковый электрик напиши в лс, дам контакт. Он вне сервака тоже работает",Москва сегодня чат,t.me/mostodaychat/1445457,11/16/2024 4:56pm,,,,,
Тебе если нужен контакт электрика,Москва сегодня чат,t.me/mostodaychat/1445459,11/16/2024 4:57pm,,,,,
"А установка драйвера для клавиатуры, похоже, будет требовать ввода команды ""установить"" по буквам 👍",FL STUDIO MOBILE Chat,t.me/flstudiomobile_chat/1221707,11/16/2024 4:58pm,,,,,
